Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,Educational Option Type,NSLP Provision Status,Charter School (Y/N),Charter Number,Charter Funding Type,IRC,Low Grade,High Grade,total_enrolled,frpm,foster,homeless,migrant,direct_cert,unduplicated_frpm,english_learner,CALPADS Fall 1 Certification Status (Y/N),,
2018-2019,33,67124,6108732,Riverside,Moreno Valley Unified,Hidden Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,559,411,6,74,0,197,439,76,451,Y,
2018-2019,33,67124,6109110,Riverside,Moreno Valley Unified,North Ridge Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,745,469,2,30,0,240,482,96,496,Y,
2018-2019,33,67124,6109508,Riverside,Moreno Valley Unified,Ridge Crest Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,594,421,9,71,0,217,446,104,459,Y,
2018-2019,33,67124,6109979,Riverside,Moreno Valley Unified,Landmark Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,"1,160",868,25,178,0,529,926,188,945,Y,
2018-2019,33,67124,6110027,Riverside,Moreno Valley Unified,Palm Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,"1,245",923,9,168,0,529,977,180,991,Y,
2018-2019,33,67124,6110928,Riverside,Moreno Valley Unified,Seneca Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,449,366,6,52,0,220,385,84,389,Y,
2018-2019,33,67157,3331014,Riverside,Nuview Union ,Nuview Bridge Early College High,Elementary School District,High Schools (Public),Traditional,N/A,Yes,368,Locally funded,N,9,12,632,390,0,21,0,184,405,10,405,Y,
2018-2019,33,67157,6032353,Riverside,Nuview Union ,Nuview Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,626,510,3,56,0,303,526,269,545,Y,
2018-2019,33,67157,6109334,Riverside,Nuview Union ,Mountain Shadows Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,380,273,2,7,0,169,286,66,295,Y,
2018-2019,33,67157,6111488,Riverside,Nuview Union ,Valley View Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,546,398,1,75,0,238,416,141,428,Y,
2018-2019,33,67173,1,Riverside,Palm Springs Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,0,2,0,0,2,4,1,4,Y,
2018-2019,33,67173,105767,Riverside,Palm Springs Unified,Rio Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,716,581,0,94,0,332,584,237,609,Y,
2018-2019,33,67173,118943,Riverside,Palm Springs Unified,Cabot Yerxa Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,701,687,7,106,0,492,690,251,693,Y,
2018-2019,33,67173,123703,Riverside,Palm Springs Unified,Painted Hills Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,819,789,4,113,0,516,790,222,792,Y,
2018-2019,33,67173,127316,Riverside,Palm Springs Unified,Rancho Mirage High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,570","1,207",4,85,0,609,"1,214",195,"1,242",Y,
2018-2019,33,67173,133090,Riverside,Palm Springs Unified,Desert Learning Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,218,145,1,3,1,114,154,29,164,Y,
2018-2019,33,67173,3330578,Riverside,Palm Springs Unified,Cathedral City High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,660","1,453",4,36,3,781,"1,455",339,"1,485",Y,
2018-2019,33,67173,3330818,Riverside,Palm Springs Unified,Desert Hot Springs High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,770","1,495",7,66,12,986,"1,511",368,"1,558",Y,
2018-2019,33,67173,3331121,Riverside,Palm Springs Unified,Mt. San Jacinto High,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,300,274,2,15,1,178,277,78,280,Y,
2018-2019,33,67173,3335130,Riverside,Palm Springs Unified,Palm Springs High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,659","1,322",1,89,1,715,"1,328",193,"1,340",Y,
2018-2019,33,67173,6032387,Riverside,Palm Springs Unified,Agua Caliente Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,541,511,1,23,0,362,511,365,534,Y,
2018-2019,33,67173,6032395,Riverside,Palm Springs Unified,Cahuilla Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,525,471,0,51,0,316,475,169,482,Y,
2018-2019,33,67173,6032403,Riverside,Palm Springs Unified,Cathedral City Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,667,630,2,107,0,415,633,411,648,Y,
2018-2019,33,67173,6032411,Riverside,Palm Springs Unified,Cielo Vista Charter,Unified School District,Elementary Schools (Public),Traditional,CEP,Yes,1173,Locally funded,N,K,8,900,657,0,33,0,356,661,254,682,Y,
2018-2019,33,67173,6032429,Riverside,Palm Springs Unified,Bella Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,765,687,6,117,1,550,696,200,706,Y,
2018-2019,33,67173,6032437,Riverside,Palm Springs Unified,Katherine Finchy Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,646,496,0,88,0,310,499,179,522,Y,
2018-2019,33,67173,6032445,Riverside,Palm Springs Unified,Rancho Mirage Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,438,353,1,77,2,207,354,129,362,Y,
2018-2019,33,67173,6032452,Riverside,Palm Springs Unified,Vista del Monte Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,545,492,4,21,0,331,493,256,507,Y,
2018-2019,33,67173,6059091,Riverside,Palm Springs Unified,Nellie N. Coffman Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,"1,094","1,027",10,112,2,653,"1,031",401,"1,046",Y,
2018-2019,33,67173,6059109,Riverside,Palm Springs Unified,Raymond Cree Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,855,709,10,72,0,424,716,195,728,Y,
2018-2019,33,67173,6102560,Riverside,Palm Springs Unified,Julius Corsini Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,444,427,1,55,9,289,429,169,431,Y,
2018-2019,33,67173,6106207,Riverside,Palm Springs Unified,Della S. Lindley Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,595,501,10,32,1,344,507,267,535,Y,
2018-2019,33,67173,6107601,Riverside,Palm Springs Unified,Landau Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,741,670,3,159,2,401,672,309,682,Y,
2018-2019,33,67173,6108443,Riverside,Palm Springs Unified,Desert Springs Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,965,939,13,59,4,622,940,299,941,Y,
2018-2019,33,67173,6108450,Riverside,Palm Springs Unified,Sunny Sands Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,726,648,1,100,0,377,650,298,662,Y,
2018-2019,33,67173,6111025,Riverside,Palm Springs Unified,Bubbling Wells Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,712,635,4,75,3,417,640,360,664,Y,
2018-2019,33,67173,6112692,Riverside,Palm Springs Unified,James Workman Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,"1,298","1,086",3,59,0,556,"1,089",276,"1,097",Y,
2018-2019,33,67173,6115448,Riverside,Palm Springs Unified,Two Bunch Palms Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,807,749,1,151,0,520,753,411,775,Y,
2018-2019,33,67181,138610,Riverside,Palo Verde Unified,Scale Leadership Academy - East,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,2019,Directly funded,Y,K,12,65,34,1,0,0,18,44,1,44,Y,
2018-2019,33,67181,3331139,Riverside,Palo Verde Unified,Twin Palms Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,85,56,0,0,2,51,66,14,68,Y,
2018-2019,33,67181,3335759,Riverside,Palo Verde Unified,Palo Verde High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,843,592,0,2,14,330,600,72,610,Y,
2018-2019,33,67181,6032460,Riverside,Palo Verde Unified,Felix J. Appleby Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,8,726,515,2,0,6,423,589,88,600,Y,
2018-2019,33,67181,6032478,Riverside,Palo Verde Unified,Margaret White Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,8,639,413,4,0,2,322,481,53,494,Y,
2018-2019,33,67181,6032494,Riverside,Palo Verde Unified,Ruth Brown Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,8,654,406,3,0,18,337,497,71,503,Y,
2018-2019,33,67199,110577,Riverside,Perris Elementary,Railway Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,829,641,6,32,0,434,718,379,753,Y,
2018-2019,33,67199,110585,Riverside,Perris Elementary,Sky View Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,666,533,8,42,2,381,596,236,617,Y,
2018-2019,33,67199,133579,Riverside,Perris Elementary,Clearwater Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,692,517,10,24,0,338,580,288,615,Y,
2018-2019,33,67199,6032502,Riverside,Perris Elementary,Good Hope Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,592,492,2,39,6,377,554,332,575,Y,
2018-2019,33,67199,6032510,Riverside,Perris Elementary,Perris Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,752,655,3,41,1,445,704,407,730,Y,
2018-2019,33,67199,6105571,Riverside,Perris Elementary,Innovative Horizons Charter,Elementary School District,Elementary Schools (Public),Traditional,CEP,Yes,1294,Locally funded,N,K,8,934,610,1,27,0,463,732,393,803,Y,
2018-2019,33,67199,6111843,Riverside,Perris Elementary,Palms Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,828,566,11,59,0,449,695,363,759,Y,
2018-2019,33,67199,6120547,Riverside,Perris Elementary,Enchanted Hills Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,503,403,1,25,1,323,457,263,479,Y,
2018-2019,33,67207,1,Riverside,Perris Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,0,1,0,0,3,4,5,9,Y,
2018-2019,33,67207,101170,Riverside,Perris Union High,California Military Institute,High School District,K-12 Schools (Public),Traditional,CEP,Yes,529,Locally funded,N,5,12,"1,049",883,5,87,0,502,892,214,905,Y,
2018-2019,33,67207,113191,Riverside,Perris Union High,Heritage High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,875","1,902",20,332,0,"1,020","1,932",377,"1,981",Y,
2018-2019,33,67207,134981,Riverside,Perris Union High,Scholar Plus Online Learning,High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,7,12,68,9,0,6,0,35,39,8,40,Y,
2018-2019,33,67207,137620,Riverside,Perris Union High,Pathways for Adult Life Skills,High School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,12,12,83,75,1,2,0,10,75,24,78,Y,
2018-2019,33,67207,3330172,Riverside,Perris Union High,Perris Lake High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,213,150,3,23,0,103,153,49,165,Y,
2018-2019,33,67207,3330727,Riverside,Perris Union High,Paloma Valley High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"3,146","1,493",15,183,0,756,"1,521",207,"1,574",Y,
2018-2019,33,67207,3335973,Riverside,Perris Union High,Perris High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,245","1,901",10,223,0,"1,135","1,937",782,"2,042",Y,
2018-2019,33,67207,6106223,Riverside,Perris Union High,Pinacate Middle,High School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,7,8,"1,194","1,097",12,163,0,671,"1,108",400,"1,137",Y,
2018-2019,33,67215,1,Riverside,Riverside Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,16,0,1,0,10,22,6,26,Y,
2018-2019,33,67215,100545,Riverside,Riverside Unified,Lake Mathews Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,830,237,2,16,0,131,240,62,263,Y,
2018-2019,33,67215,111252,Riverside,Riverside Unified,Mark Twain Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,"1,051",400,6,27,0,199,403,90,427,Y,
2018-2019,33,67215,114181,Riverside,Riverside Unified,Patricia Beatty Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,P,6,607,542,3,45,0,287,542,144,550,Y,
2018-2019,33,67215,115709,Riverside,Riverside Unified,Riverside Virtual,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,12,117,44,0,1,0,25,44,2,44,Y,
2018-2019,33,67215,119180,Riverside,Riverside Unified,Frank Augustus Miller Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,"1,033",463,1,40,0,202,465,56,480,Y,
2018-2019,33,67215,126128,Riverside,Riverside Unified,REACH Leadership STEAM Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1409,Directly funded,N,K,6,571,314,1,0,0,183,332,22,333,Y,
2018-2019,33,67215,131359,Riverside,Riverside Unified,Riverside STEM Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,5,12,663,208,0,4,0,108,209,2,211,Y,
2018-2019,33,67215,132498,Riverside,Riverside Unified,Encore High School for the Arts - Riverside,Unified School District,High Schools (Public),Traditional,N/A,Yes,1747,Directly funded,Y,7,12,872,196,2,2,0,226,267,26,279,Y,
2018-2019,33,67215,3330024,Riverside,Riverside Unified,Arlington High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,928","1,402",5,78,0,707,"1,407",304,"1,437",Y,
2018-2019,33,67215,3330362,Riverside,Riverside Unified,Summit View Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,253,139,2,28,0,97,141,19,148,Y,
2018-2019,33,67215,3330511,Riverside,Riverside Unified,Opportunity Program,Unified School District,Opportunity Schools,Opportunity School,N/A,No ,N/A,N/A,N,7,12,42,33,1,5,0,23,33,5,33,Y,
2018-2019,33,67215,3330677,Riverside,Riverside Unified,Raincross High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,143,105,1,19,0,65,105,26,109,Y,
2018-2019,33,67215,3330859,Riverside,Riverside Unified,Martin Luther King Jr. High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"3,071","1,050",8,63,0,448,"1,055",87,"1,080",Y,
2018-2019,33,67215,3334406,Riverside,Riverside Unified,John W. North High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,228","1,657",3,79,0,952,"1,664",315,"1,697",Y,
2018-2019,33,67215,3336237,Riverside,Riverside Unified,Polytechnic High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,465","1,381",5,93,0,753,"1,383",241,"1,416",Y,
2018-2019,33,67215,3336492,Riverside,Riverside Unified,Ramona High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,157","1,767",7,116,0,869,"1,770",329,"1,807",Y,
2018-2019,33,67215,3336955,Riverside,Riverside Unified,Abraham Lincoln Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,197,181,0,14,0,105,181,57,185,Y,
2018-2019,33,67215,6032528,Riverside,Riverside Unified,Adams Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,6,538,438,5,40,0,258,438,147,451,Y,
2018-2019,33,67215,6032536,Riverside,Riverside Unified,Alcott Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,758,448,0,21,0,286,449,108,459,Y,
2018-2019,33,67215,6032544,Riverside,Riverside Unified,Bryant Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,441,301,1,25,0,198,301,74,306,Y,
2018-2019,33,67215,6032569,Riverside,Riverside Unified,Castle View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,646,315,5,22,0,184,316,141,341,Y,
2018-2019,33,67215,6032577,Riverside,Riverside Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,6,737,583,9,46,0,370,585,147,598,Y,
2018-2019,33,67215,6032585,Riverside,Riverside Unified,Fremont Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,P,6,552,514,3,56,0,297,514,170,519,Y,
2018-2019,33,67215,6032601,Riverside,Riverside Unified,Harrison Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,492,326,0,29,0,188,328,87,339,Y,
2018-2019,33,67215,6032619,Riverside,Riverside Unified,Hawthorne Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,6,735,561,1,50,0,299,562,138,571,Y,
2018-2019,33,67215,6032627,Riverside,Riverside Unified,Highgrove Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,P,6,757,712,7,57,0,423,715,216,718,Y,
2018-2019,33,67215,6032635,Riverside,Riverside Unified,Highland Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,P,6,701,640,9,69,0,375,642,189,653,Y,
2018-2019,33,67215,6032650,Riverside,Riverside Unified,Jackson Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,P,6,739,680,4,64,0,365,680,236,687,Y,
2018-2019,33,67215,6032668,Riverside,Riverside Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,6,993,833,4,70,0,485,833,300,846,Y,
2018-2019,33,67215,6032684,Riverside,Riverside Unified,Liberty Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,P,6,725,661,3,57,0,402,661,308,673,Y,
2018-2019,33,67215,6032692,Riverside,Riverside Unified,Longfellow Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,P,6,741,716,1,44,0,453,717,350,724,Y,
2018-2019,33,67215,6032700,Riverside,Riverside Unified,Madison Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,P,6,730,640,2,34,0,377,641,239,649,Y,
2018-2019,33,67215,6032718,Riverside,Riverside Unified,Magnolia Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,6,614,395,2,32,0,240,397,81,411,Y,
2018-2019,33,67215,6032726,Riverside,Riverside Unified,Monroe Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,6,646,542,7,53,0,308,542,182,548,Y,
2018-2019,33,67215,6032734,Riverside,Riverside Unified,Mountain View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,6,833,656,1,67,0,386,657,259,681,Y,
2018-2019,33,67215,6032742,Riverside,Riverside Unified,Pachappa Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,6,760,538,1,50,0,327,539,146,552,Y,
2018-2019,33,67215,6032767,Riverside,Riverside Unified,Sunshine Special Education,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,P,12,74,51,2,3,0,9,51,21,57,Y,
2018-2019,33,67215,6032775,Riverside,Riverside Unified,Victoria Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,575,436,3,45,0,246,437,133,448,Y,
2018-2019,33,67215,6032783,Riverside,Riverside Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,876,545,1,52,0,290,545,253,587,Y,
2018-2019,33,67215,6059125,Riverside,Riverside Unified,Central Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,684,549,1,20,0,320,551,109,561,Y,
2018-2019,33,67215,6059133,Riverside,Riverside Unified,Matthew Gage Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,"1,014",624,2,64,0,309,625,119,630,Y,
2018-2019,33,67215,6059141,Riverside,Riverside Unified,Sierra Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,871,741,9,47,0,412,741,157,754,Y,
2018-2019,33,67215,6059158,Riverside,Riverside Unified,University Heights Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,7,8,850,798,2,50,0,461,799,186,804,Y,
2018-2019,33,67215,6061790,Riverside,Riverside Unified,Chemawa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,951,828,1,73,0,458,829,197,835,Y,
2018-2019,33,67215,6099188,Riverside,Riverside Unified,Woodcrest Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,660,360,2,51,0,181,362,77,376,Y,
2018-2019,33,67215,6107957,Riverside,Riverside Unified,William Howard Taft Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,657,463,1,26,0,292,463,156,470,Y,
2018-2019,33,67215,6109011,Riverside,Riverside Unified,Benjamin Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,817,230,2,29,0,112,230,37,241,Y,
2018-2019,33,67215,6112668,Riverside,Riverside Unified,Amelia Earhart Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,926,341,1,18,0,147,343,30,351,Y,
2018-2019,33,67215,6112676,Riverside,Riverside Unified,Tomas Rivera Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,739,281,5,31,0,127,282,31,289,Y,
2018-2019,33,67215,6120075,Riverside,Riverside Unified,John F. Kennedy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,"1,017",383,3,21,0,208,388,78,416,Y,
2018-2019,33,67231,1,Riverside,Romoland Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,2,0,0,0,2,2,1,2,Y,
2018-2019,33,67231,113746,Riverside,Romoland Elementary,Mesa View Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,887,384,3,31,0,149,388,32,398,Y,
2018-2019,33,67231,114066,Riverside,Romoland Elementary,Ethan A Chase Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,"1,333",988,13,115,0,509,"1,006",153,"1,028",Y,
2018-2019,33,67231,127761,Riverside,Romoland Elementary,Boulder Ridge Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,647,494,2,32,0,256,504,72,523,Y,
2018-2019,33,67231,6032791,Riverside,Romoland Elementary,Romoland Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,492,431,5,17,0,265,432,183,433,Y,
2018-2019,33,67231,6109581,Riverside,Romoland Elementary,Harvest Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,714,652,5,82,0,412,655,226,659,Y,
2018-2019,33,67249,1,Riverside,San Jacinto Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27,1,0,0,0,12,13,5,17,Y,
2018-2019,33,67249,102715,Riverside,San Jacinto Unified,Estudillo Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,675,498,7,5,0,314,505,157,520,Y,
2018-2019,33,67249,102723,Riverside,San Jacinto Unified,"Clayton A. Record, Jr., Elementary",Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,554,469,8,1,0,275,474,122,480,Y,
2018-2019,33,67249,121319,Riverside,San Jacinto Unified,Megan Cope Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,"1,010",748,17,0,0,425,762,225,787,Y,
2018-2019,33,67249,123844,Riverside,San Jacinto Unified,San Jacinto Leadership Academy - Magnet,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,349,227,0,0,0,126,227,13,227,Y,
2018-2019,33,67249,3331006,Riverside,San Jacinto Unified,Mountain Heights Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,1,12,144,104,1,0,0,85,106,10,108,Y,
2018-2019,33,67249,3337649,Riverside,San Jacinto Unified,Mountain View High,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,250,194,3,3,0,136,197,34,203,Y,
2018-2019,33,67249,3337656,Riverside,San Jacinto Unified,San Jacinto High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"2,676","1,897",11,21,0,"1,209","1,918",336,"1,993",Y,
2018-2019,33,67249,6032809,Riverside,San Jacinto Unified,Hyatt Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,416,381,3,0,0,291,385,126,393,Y,
2018-2019,33,67249,6032817,Riverside,San Jacinto Unified,San Jacinto Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,525,503,8,8,0,366,508,166,514,Y,
2018-2019,33,67249,6059166,Riverside,San Jacinto Unified,Monte Vista Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,916,736,11,13,0,483,742,142,763,Y,
